abbr	AP	state	lat	lon	FIPS	qid
AL	Ala.	Alabama	32.318230	-86.902298	01	Q173
AK	Alaska	Alaska	66.160507	-153.369141	02	Q797
AZ	Ariz.	Arizona	34.048927	-111.093735	04	Q816
AR	Ark.	Arkansas	34.799999	-92.199997	05	Q1612
CA	Calif.	California	36.778259	-119.417931	06	Q99
CO	Colo.	Colorado	39.113014	-105.358887	08	Q1261
CT	Conn.	Connecticut	41.599998	-72.699997	09	Q779
DE	Del.	Delaware	39.000000	-75.500000	10	Q1393
FL	Fla.	Florida	27.994402	-81.760254	12	Q812
GA	Ga.	Georgia	33.247875	-83.441162	13	Q1428
HI	Hawaii	Hawaii	19.741755	-155.844437	15	Q782
ID	Idaho	Idaho	44.068203	-114.742043	16	Q1221
IL	Ill.	Illinois	40.000000	-89.000000	17	Q1204
IN	Ind.	Indiana	40.273502	-86.126976	18	Q1415
IA	Iowa	Iowa	42.032974	-93.581543	19	Q1546
KS	Kan.	Kansas	38.500000	-98.000000	20	Q1558
KY	Ky.	Kentucky	37.839333	-84.270020	21	Q1603
LA	La.	Louisiana	30.391830	-92.329102	22	Q1588
ME	Maine	Maine	45.367584	-68.972168	23	Q724
MD	Md.	Maryland	39.045753	-76.641273	24	Q1391
MA	Mass.	Massachusetts	42.407211	-71.382439	25	Q771
MI	Mich.	Michigan	44.182205	-84.506836	26	Q1166
MN	Minn.	Minnesota	46.392410	-94.636230	27	Q1527
MS	Miss.	Mississippi	33.000000	-90.000000	28	Q1494
MO	Mo.	Missouri	38.573936	-92.603760	29	Q1581
MT	Mont.	Montana	46.965260	-109.533691	30	Q1212
NE	Neb.	Nebraska	41.500000	-100.000000	31	Q1553
NV	Nev.	Nevada	39.876019	-117.224121	32	Q1227
NH	N.H.	New Hampshire	44.000000	-71.500000	33	Q759
NJ	N.J.	New Jersey	39.833851	-74.871826	34	Q1408
NM	N.M.	New Mexico	34.307144	-106.018066	35	Q1522
NY	N.Y.	New York	43.000000	-75.000000	36	Q1384
NC	N.C.	North Carolina	35.782169	-80.793457	37	Q1454
ND	N.D.	North Dakota	47.650589	-100.437012	38	Q1207
OH	Ohio	Ohio	40.367474	-82.996216	39	Q1397
OK	Okla.	Oklahoma	36.084621	-96.921387	40	Q1649
OR	Ore.	Oregon	44.000000	-120.500000	41	Q824
PA	Pa.	Pennsylvania	41.203323	-77.194527	42	Q1400
RI	R.I.	Rhode Island	41.700001	-71.500000	44	Q1387
SC	S.C.	South Carolina	33.836082	-81.163727	45	Q1456
SD	S.D.	South Dakota	44.500000	-100.000000	46	Q1211
TN	Tenn.	Tennessee	35.860119	-86.660156	47	Q1509
TX	Texas	Texas	31.000000	-100.000000	48	Q1439
UT	Utah	Utah	39.419220	-111.950684	49	Q829
VT	Vt.	Vermont	44.000000	-72.699997	50	Q16551
VA	Va.	Virginia	37.926868	-78.024902	51	Q1370
WA	Wash.	Washington	47.751076	-120.740135	53	Q1223
WV	W.Va.	West Virginia	39.000000	-80.500000	54	Q1371
WI	Wis.	Wisconsin	44.500000	-89.500000	55	Q1537
WY	Wyo.	Wyoming	43.075970	-107.290283	56	Q1214
						
DC		District of Columbia	38.893452	-77.014709	11	Q3551781